job_title,min_salary,max_salary,currency,skills,publication_date,id,location,job_categories,experience,html_link,type,company_name,company_id,source,created
Sr Automation Test Engineer,_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2023-03-09T23:54:14Z,11002594,"[{'name': 'Pune, India'}]",[{'name': 'Software Engineering'}],senior,https://www.themuse.com/jobs/siemens/sr-automation-test-engineer-2e0413,external,Siemens,11913,muse.com,2024-04-19_13:05:59
Senior Commercial Project Manager 80-100%,_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2023-05-12T23:43:01Z,10980381,"[{'name': 'Norrtälje, Sweden'}]",[{'name': 'Project Management'}],senior,https://www.themuse.com/jobs/siemens/senior-commercial-project-manager-80100-53df8a,external,Siemens,11913,muse.com,2024-04-19_13:05:59
ServiceNow Technical Consultant (m/f/d),_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2023-05-15T23:37:48Z,11189220,"[{'name': 'Ostrowiec Świętokrzyski, Poland'}]",[{'name': 'Software Engineering'}],senior,https://www.themuse.com/jobs/siemens/servicenow-technical-consultant-mfd-25cf9e,external,Siemens,11913,muse.com,2024-04-19_13:05:59
Store Manager In Training,18.50,26.25,$,[],2024-04-12T00:57:49Z,12335220,"[{'name': 'Phoenix, AZ'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-manager-in-training-1c497f,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
High Touch Operations Manager,_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2023-06-24T10:14:35Z,11594018,"[{'name': 'Krakow, Poland'}]",[{'name': 'Education'}],senior,https://www.themuse.com/jobs/ciscomeraki/high-touch-operations-manager-d3098a,external,Cisco Meraki,11799,muse.com,2024-04-19_13:05:59
Store Associate,15.00,19.00,$,[],2024-04-12T00:41:35Z,14503823,"[{'name': 'Michigan City, IN'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-2c3a83,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
System Engineer (Process Automation),_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2023-05-18T23:39:44Z,11314025,"[{'name': 'Bangkok, Thailand'}]",[{'name': 'Science and Engineering'}],mid,https://www.themuse.com/jobs/siemens/system-engineer-process-automation-b053a6,external,Siemens,11913,muse.com,2024-04-19_13:05:59
Pharmacy Technician,16.00,24.00,$,[],2024-04-12T00:33:22Z,14593284,"[{'name': 'North Andover, MA'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-8d0b7b,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Store Associate,15.00,18.00,$,[],2024-04-12T00:57:48Z,13053562,"[{'name': 'Royal Oak, MI'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-06c8c5,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Pharmacy Technician,16.00,24.00,$,[],2024-04-12T00:50:35Z,13925363,"[{'name': 'Hyattsville, MD'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-f0e071,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
