jobId,employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl
52314005,134670,Penguin Recruitment Ltd,,,Senior Town Planner,Edinburgh,30000.0,40000.0,GBP,26/04/2024,14/03/2024,", mixed use, student, and built-to-rent projects. The Position as a Senior Town Planner Engage in developing the company's client base, enhancing the company's reputation, and an active member of the team. Contribute to a diverse range of high-profile projects for the public and private sector clients across the country Be part of a team filled with versatile expertise. What is on offer for a Senior Town Planner? Attractive salary. Training and ... ",3,https://www.reed.co.uk/jobs/senior-town-planner/52314005
52330866,575264,Reed,,,HR Advisor,DA11DT,30000.0,40000.0,GBP,19/04/2024,18/03/2024,"Job Opportunity: Standalone HR Advisor Location: Kent&nbsp; Position Type: Full-time About My client: My client is a leading logistics company specializing in supply chain management, transportation, and distribution services. They pride themselves on efficiency, reliability, and fostering a positive work environment. Role Overview: As a Standalone HR Advisor, you will play a crucial role in supporting our employees and ensuring smooth HR operat... ",0,https://www.reed.co.uk/jobs/hr-advisor/52330866
52260507,451665,The Recruitment Co,,,Class 2 Refuse Driver,BL26RS,14.06,14.06,GBP,18/04/2024,06/03/2024,"The Recruitment Co are recruiting for HGV Class 2 Refuse Drivers to work for the local council in Bury. Location: Radcliffe, Bury PAYE : 14:06 per hour Duties: You will be joining the waste team on site driving the bin wagons Working daily with 2 bin loaders Driving or loading the vehicle collecting public waste, on the odd occasion you may be required to work as a loader however you will always be paid the drivers rate. Benefits &amp; Specifica... ",5,https://www.reed.co.uk/jobs/class-2-refuse-driver/52260507
52314004,402085,Surrey County Council,,,Adults Best Interest Assessor,GU227QQ,44614.0,47681.0,GBP,05/04/2024,14/03/2024,"The starting salary for this role is 44,614 per annum based on a 36-hour working week. We are excited to be hiring three new Best Interest Assessors to join our fantastic Deprivation of Liberty Safeguards Team. The team is a County-wide team based at Quadrant Court; however, there is an opportunity to work flexibly, including from your own home and at other Surrey County Council offices. We have two permanent opportunities available and one 24-m... ",0,https://www.reed.co.uk/jobs/adults-best-interest-assessor/52314004
52330865,481224,Matt Burton ,,,Major Projects Surveyor,B54BU,60000.0,90000.0,GBP,19/04/2024,18/03/2024,"MBA are excited to be working with a best-in-class insurance company, assisting their search for a talented&nbsp; Major Projects Surveyor . The client is an industry heavyweight with a reputation for client centric claims management, technical innovation and leadership and due to continuing growth, are looking to add an all-round&nbsp; Major Projects Surveyor to their ranks to cover the West Midlands area. &nbsp;&nbsp; &nbsp; In return, the&nbsp... ",0,https://www.reed.co.uk/jobs/major-projects-surveyor/52330865
52330864,481224,Matt Burton ,,,Major Projects Surveyor,LS122QX,60000.0,90000.0,GBP,19/04/2024,18/03/2024,"MBA are excited to be working with a best-in-class insurance company, assisting their search for a talented&nbsp; Major Projects Surveyor . The client is an industry heavyweight with a reputation for client centric claims management, technical innovation and leadership and due to continuing growth, are looking to add an all-round&nbsp; Major Projects Surveyor to their ranks to cover the Yorkshire area. &nbsp;&nbsp; &nbsp; In return, the&nbsp; Ma... ",0,https://www.reed.co.uk/jobs/major-projects-surveyor/52330864
52314003,424608,Bennett & Game Recruitment,,,Air Conditioning Engineer,Potters Bar,40000.0,47000.0,GBP,26/04/2024,14/03/2024,Our client who are an established Hertfordshire based Air conditioning &amp; Ventilation company with a rapidly expanding Service &amp; Maintenance department. They are looking to bring an experienced Air Conditioning engineer with 5-7 years plus knowledge of Air Conditioning Service &amp; Maintenance to join the team. The ideal Engineer will be based within 30 miles of company's office which is stone's throw from Hatfield. The Engineer will be ... ,0,https://www.reed.co.uk/jobs/air-conditioning-engineer/52314003
52260506,678195, CEF - City Electrical Factors,,,Sales Assistant ,RH109AZ,25000.0,25000.0,GBP,18/04/2024,06/03/2024,"We are currently looking to recruit a full-time Sales Assistant for our Crawley store. You will provide excellent sales and customer service in-store and by phone, prepare customer quotations, order goods and negotiate with suppliers, pick customer orders and be responsible for managing goods in and out of the store. You’ll build relationships with customers, prepare merchandising displays and offer expert advice on products. We’re looking for s... ",1,https://www.reed.co.uk/jobs/sales-assistant/52260506
52314002,514782,WorkWithSchools,,,Exam Invigilator,YO19RN,,,,26/04/2024,14/03/2024,"WorkwithSchools are recruiting Exam Invigilators for schools in and around York. This is to cover the exam period in the summer term of 2024. Work is part time and offered on an ongoing, weekly basis, working between 3 to 6.5 hours between 8.30 am and 3.30 pm. Experience is preferred, but we can offer training for those with a current DBS. A great pay rate is available, plus holiday pay. This critical role is responsible for the efficient organi... ",0,https://www.reed.co.uk/jobs/exam-invigilator/52314002
52243804,405054,H&T Pawnbrokers,,,Sales Assistant - Part Time - Bearwood - 30 hours,B664BH,10.72,10.72,GBP,16/04/2024,04/03/2024,"Work in a team who love what they do and help make H&amp;T a leading retailer and first choice for Financial Services, while supporting your local community. Enjoy a culture that encourages its colleagues,&nbsp; Embraces diversity and supports its local communities. Plus, 25% discount on jewellery and watches. JOB SPECIFICS Job Title: Sales Assistant Job Type: Part Time - 30 hours&nbsp; Salary: 10.72 per hour * Location:&nbsp; Bearwood *The chan... ",62,https://www.reed.co.uk/jobs/sales-assistant-part-time-bearwood-30-hours/52243804
52314001,575264,Reed,,,Bookkeeper,KT153NA,27000.0,35000.0,GBP,15/04/2024,14/03/2024,"A new client of ours in the Plant hire industry is seeking an experienced Bookkeeper to join their&nbsp;team. The successful candidate will be instrumental in providing finance support, managing&nbsp;bookkeeping /payroll tasks, and ensuring the smooth operation of the office. This role is ideal for someone who is highly organised, proficient in Xero which is essential for this role, and has excellent communication skills. Day-to-day of the role:... ",1,https://www.reed.co.uk/jobs/bookkeeper/52314001
